Crop_Type,Soil_pH,Rainfall,Temperature,Fertilizer_Use,Yield,Water_Efficiency,Soil_pH_Category,Rainfall_Category,Water_Usage_Estimate,Irrigation,Year
Sorghum,7.3,817,18,72,5.99,0.007331701,Neutral,Medium,Medium,Drip,2004
Wheat,5,1974,36,106,4.27,0.002163121,Acidic,High,High,Sprinkler,2007
Oats,7.4,1908,30,68,4.17,0.002185535,Neutral,High,High,Sprinkler,2009
Millet,6.8,1653,16,66,3.1,0.001875378,Neutral,High,High,Sprinkler,1999
Peanut,7.5,656,24,112,5.24,0.007987805,Neutral,Medium,Medium,Drip,2010
Soybean,7.6,1434,22,77,3.44,0.002398884,Alkaline,High,High,Sprinkler,2002
Sorghum,5.6,1188,19,102,4.2,0.003535354,Neutral,High,High,Drip,2005
Wheat,6,434,16,54,5.94,0.013686636,Neutral,Low,Low,Sprinkler,2008
Sorghum,6.5,1204,34,67,3.35,0.002782392,Neutral,High,High,Drip,2006
Oats,4.9,984,15,36,2.94,0.002987805,Acidic,Medium,Medium,Sprinkler,2010
Wheat,6.8,709,28,96,3.13,0.004414669,Neutral,Medium,Medium,Sprinkler,2009
Soybean,7.6,1000,37,75,2.3,0.0023,Alkaline,Medium,Medium,Sprinkler,2003
Corn,5,1531,27,90,3.44,0.002246897,Acidic,High,High,Drip,2007
Wheat,6,1448,36,77,2.33,0.001609116,Neutral,High,High,Sprinkler,2010
Millet,6.7,1031,33,49,5.2,0.005043647,Neutral,High,High,Sprinkler,2000
Millet,6.1,777,15,80,5.5,0.007078507,Neutral,Medium,Medium,Sprinkler,2001
Rice,7.6,588,18,57,5.43,0.009234694,Alkaline,Medium,Medium,Flood,2012
Wheat,6.6,1133,32,81,2.17,0.001915269,Neutral,High,High,Sprinkler,2011
Rice,7.2,1471,38,66,5.3,0.003602991,Neutral,High,High,Flood,2013
Sorghum,5.2,1993,26,52,5.84,0.002930256,Acidic,High,High,Drip,2007
Sugarcane,5.6,1865,32,106,2.51,0.001345845,Neutral,High,High,Flood,2009
Peanut,7.4,1226,18,45,3.79,0.003091354,Neutral,High,High,Drip,2011
Peanut,6.9,1038,39,116,5.54,0.005337187,Neutral,High,High,Drip,2012
Sorghum,6.5,1502,23,47,5.7,0.00379494,Neutral,High,High,Drip,2008
Cotton,5.1,1840,27,32,2.63,0.001429348,Acidic,High,High,Drip,2008
Sorghum,4.8,1190,20,57,3.71,0.003117647,Acidic,High,High,Drip,2009
Peanut,5.5,1682,18,31,2.94,0.001747919,Acidic,High,High,Drip,2013
Sorghum,5.5,1287,30,77,3.82,0.002968143,Acidic,High,High,Drip,2010
Millet,7.7,1593,39,47,3.38,0.002121783,Alkaline,High,High,Sprinkler,2002
Corn,7.3,502,19,88,5.56,0.011075697,Neutral,Medium,Medium,Drip,2008
Barley,5.4,658,37,80,2.17,0.003297872,Acidic,Medium,Medium,Sprinkler,2006
Maize,5.4,1857,17,44,3.13,0.001685514,Acidic,High,High,Drip,2002
Maize,6.8,1454,35,116,2.59,0.001781293,Neutral,High,High,Drip,2003
Maize,7.4,1603,17,59,4.45,0.002776045,Neutral,High,High,Drip,2004
Sorghum,4.6,1285,29,116,2.96,0.002303502,Acidic,High,High,Drip,2011
Soybean,7.1,1456,39,89,2.78,0.001909341,Neutral,High,High,Sprinkler,2004
Rice,7,1482,23,45,2.08,0.001403509,Neutral,High,High,Flood,2014
Peanut,4.7,1662,25,83,4.89,0.002942238,Acidic,High,High,Drip,2014
Sugarcane,7.3,1547,17,73,3.83,0.00247576,Neutral,High,High,Flood,2010
Sorghum,6.3,1201,16,48,3.16,0.002631141,Neutral,High,High,Drip,2012
Corn,6.3,1985,40,98,5.79,0.002916877,Neutral,High,High,Drip,2009
Wheat,6.7,1177,19,46,3.92,0.003330501,Neutral,High,High,Sprinkler,2012
Oats,6.4,1388,30,92,4.08,0.002939481,Neutral,High,High,Sprinkler,2011
Corn,4.5,1359,27,30,3.2,0.002354673,Acidic,High,High,Drip,2010
Peanut,6.4,1327,34,56,3.64,0.002743029,Neutral,High,High,Drip,2015
Cotton,5.7,991,22,96,2.75,0.002774975,Neutral,Medium,Medium,Drip,2009
Cotton,7,875,17,75,3.37,0.003851429,Neutral,Medium,Medium,Drip,2010
Rice,5.8,1370,34,101,3.41,0.002489051,Neutral,High,High,Flood,2015
Peanut,6.3,749,22,43,3.8,0.005073431,Neutral,Medium,Medium,Drip,2016
Soybean,7.1,1690,26,56,2.34,0.001384615,Neutral,High,High,Sprinkler,2005
Rice,7.6,600,28,107,4.15,0.006916667,Alkaline,Medium,Medium,Flood,2016
Maize,7.2,706,21,34,4.1,0.005807365,Neutral,Medium,Medium,Drip,2005
Cotton,7.2,1159,16,107,5.3,0.004572908,Neutral,High,High,Drip,2011
Wheat,7.3,1493,17,55,4.18,0.002799732,Neutral,High,High,Sprinkler,2013
Peanut,5.1,843,26,119,3.48,0.004128114,Acidic,Medium,Medium,Drip,2017
Oats,6.5,1873,24,34,5.22,0.002786973,Neutral,High,High,Sprinkler,2012
Barley,6.9,495,35,91,5.54,0.011191919,Neutral,Low,Low,Sprinkler,2007
Sorghum,5.7,1502,26,90,5.74,0.003821571,Neutral,High,High,Drip,2013
Barley,5.7,1189,18,34,2.83,0.002380151,Neutral,High,High,Sprinkler,2008
Rice,7.6,405,25,49,4.11,0.010148148,Alkaline,Low,Low,Flood,2017
Sorghum,6.1,1597,24,78,3.61,0.002260488,Neutral,High,High,Drip,2014
Sugarcane,5.5,862,34,70,4.79,0.005556845,Acidic,Medium,Medium,Flood,2011
Wheat,5.8,935,22,68,2.75,0.002941176,Neutral,Medium,Medium,Sprinkler,2014
Barley,6.7,1094,29,88,4.64,0.004241316,Neutral,High,High,Sprinkler,2009
Wheat,7.8,497,35,58,2.82,0.005674044,Alkaline,Low,Low,Sprinkler,2015
Sugarcane,7.7,931,39,43,2.25,0.002416756,Alkaline,Medium,Medium,Flood,2012
Wheat,4.9,995,15,116,5.77,0.005798995,Acidic,Medium,Medium,Sprinkler,2016
Rice,6,1499,17,120,4.58,0.00305537,Neutral,High,High,Flood,2018
Millet,6.4,1600,32,113,4.71,0.00294375,Neutral,High,High,Sprinkler,2003
Soybean,4.9,486,16,79,5.76,0.011851852,Acidic,Low,Low,Sprinkler,2006
Rice,7.9,1536,38,105,2.14,0.001393229,Alkaline,High,High,Flood,2019
Maize,6.2,1992,30,32,4.53,0.002274096,Neutral,High,High,Drip,2006
Sorghum,6.7,1970,16,74,2.45,0.001243655,Neutral,High,High,Drip,2015
Peanut,8,1513,16,116,3.05,0.002015863,Alkaline,High,High,Drip,2018
Peanut,7.9,793,29,76,5.22,0.006582598,Alkaline,Medium,Medium,Drip,2019
Millet,6,1824,18,62,4.21,0.002308114,Neutral,High,High,Sprinkler,2004
Sorghum,7.9,636,21,70,4.69,0.007374214,Alkaline,Medium,Medium,Drip,2016
Oats,5.4,538,15,115,2.07,0.003847584,Acidic,Medium,Medium,Sprinkler,2013
Corn,7.2,803,35,47,2.13,0.002652553,Neutral,Medium,Medium,Drip,2011
Sorghum,7.2,1894,30,118,4.63,0.002444562,Neutral,High,High,Drip,2017
Wheat,6.8,1129,29,89,4.27,0.003782108,Neutral,High,High,Sprinkler,2017
Soybean,4.7,1825,21,75,4.22,0.002312329,Acidic,High,High,Sprinkler,2007
Cotton,5.1,1058,39,110,2.11,0.001994329,Acidic,High,High,Drip,2012
Maize,7.6,718,31,98,5.08,0.007075209,Alkaline,Medium,Medium,Drip,2007
Sorghum,7.9,1132,33,113,5.01,0.004425795,Alkaline,High,High,Drip,2018
Millet,4.5,1333,30,38,5.3,0.003975994,Acidic,High,High,Sprinkler,2005
Rice,5.2,1952,27,45,2.75,0.001408811,Acidic,High,High,Flood,2020
Corn,6.2,323,32,30,5.36,0.016594427,Neutral,Low,Low,Drip,2012
Corn,5,1405,23,81,4.16,0.002960854,Acidic,High,High,Drip,2013
Corn,7.1,1472,33,120,3.26,0.002214674,Neutral,High,High,Drip,2014
Millet,5.1,1336,40,65,3.23,0.002417665,Acidic,High,High,Sprinkler,2006
Maize,4.7,1823,16,38,5.35,0.002934723,Acidic,High,High,Drip,2008
Maize,7.6,1384,19,83,3.59,0.002593931,Alkaline,High,High,Drip,2009
Sorghum,5,1411,32,61,4.37,0.003097094,Acidic,High,High,Drip,2019
Rice,7.7,456,34,84,3.84,0.008421053,Alkaline,Low,Low,Flood,2021
Maize,7.4,1637,34,119,4.88,0.002981063,Neutral,High,High,Drip,2010
Rice,7.8,752,37,93,4.57,0.006077128,Alkaline,Medium,Medium,Flood,2022
Rice,5.6,1068,15,81,3.88,0.003632959,Neutral,High,High,Flood,2023
Peanut,6.4,1095,16,84,5.11,0.004666667,Neutral,High,High,Drip,2020
Wheat,4.8,1832,32,38,2.22,0.00121179,Acidic,High,High,Sprinkler,2018
Oats,7.1,690,24,82,3.84,0.005565217,Neutral,Medium,Medium,Sprinkler,2014
Cotton,6.8,1329,27,86,2.62,0.001971407,Neutral,High,High,Drip,2013
Peanut,4.5,1153,20,34,3.14,0.00272333,Acidic,High,High,Drip,2021
Corn,6.5,1762,22,86,3.71,0.002105562,Neutral,High,High,Drip,2015
Sorghum,6.2,1110,33,63,2.42,0.00218018,Neutral,High,High,Drip,2020
Peanut,6.9,524,32,80,5,0.009541985,Neutral,Medium,Medium,Drip,2022
Barley,6,1261,23,53,3.7,0.002934179,Neutral,High,High,Sprinkler,2010
Maize,7,1004,28,59,3.41,0.003396414,Neutral,High,High,Drip,2011
Rice,7.8,343,27,117,2.53,0.007376093,Alkaline,Low,Low,Flood,2024
Peanut,5.1,1219,24,111,2.29,0.001878589,Acidic,High,High,Drip,2023
Oats,6.3,407,33,45,4.31,0.010589681,Neutral,Low,Low,Sprinkler,2015
Soybean,6.3,1350,40,55,2.65,0.001962963,Neutral,High,High,Sprinkler,2008
Sorghum,7.6,1425,32,120,2.34,0.001642105,Alkaline,High,High,Drip,2021
Corn,7.6,1848,29,32,3.95,0.002137446,Alkaline,High,High,Drip,2016
Maize,6.8,742,25,89,3.71,0.005,Neutral,Medium,Medium,Drip,2012
Corn,7.8,920,28,37,3.49,0.003793478,Alkaline,Medium,Medium,Drip,2017
Sorghum,5,1530,40,66,2.44,0.001594771,Acidic,High,High,Drip,2022
Sugarcane,5,656,15,79,4.92,0.0075,Acidic,Medium,Medium,Flood,2013
Millet,7.4,499,37,56,2.84,0.005691383,Neutral,Low,Low,Sprinkler,2007
Wheat,5.9,1598,31,110,4.5,0.00281602,Neutral,High,High,Sprinkler,2019
Sorghum,7.1,453,28,94,2.66,0.005871965,Neutral,Low,Low,Drip,2023
Sorghum,6.1,1688,37,66,3.88,0.002298578,Neutral,High,High,Drip,2024
Millet,6.6,492,39,71,5.66,0.011504065,Neutral,Low,Low,Sprinkler,2008
Maize,4.8,902,17,108,4.37,0.004844789,Acidic,Medium,Medium,Drip,2013
Peanut,7.6,876,28,93,2.62,0.002990868,Alkaline,Medium,Medium,Drip,2024
Millet,6.7,1033,16,45,3.4,0.003291384,Neutral,High,High,Sprinkler,2009
Millet,5.2,1619,24,67,4.03,0.002489191,Acidic,High,High,Sprinkler,2010
Sorghum,5.4,1075,35,51,3.56,0.003311628,Acidic,High,High,Drip,2025
Sugarcane,6,1697,23,90,4.94,0.002911019,Neutral,High,High,Flood,2014
Millet,7.7,1686,23,66,2.86,0.001696323,Alkaline,High,High,Sprinkler,2011
Maize,5.4,393,24,106,4.21,0.010712468,Acidic,Low,Low,Drip,2014
Sorghum,6.5,381,27,92,2.39,0.006272966,Neutral,Low,Low,Drip,2026
Corn,6.3,628,23,37,3.64,0.005796178,Neutral,Medium,Medium,Drip,2018
Maize,5.6,1734,32,64,4.66,0.002687428,Neutral,High,High,Drip,2015
Wheat,5.9,793,33,89,2.82,0.003556116,Neutral,Medium,Medium,Sprinkler,2020
Maize,7.5,1761,29,45,5.11,0.00290176,Neutral,High,High,Drip,2016
Barley,7.6,379,24,48,3.72,0.009815303,Alkaline,Low,Low,Sprinkler,2011
Barley,8,666,36,40,2.17,0.003258258,Alkaline,Medium,Medium,Sprinkler,2012
Sorghum,5.8,1874,39,113,4.67,0.002491996,Neutral,High,High,Drip,2027
Corn,7.2,830,16,54,5.07,0.006108434,Neutral,Medium,Medium,Drip,2019
Oats,7,1981,15,54,2.8,0.001413428,Neutral,High,High,Sprinkler,2016
Cotton,5.1,1623,24,74,5.84,0.003598275,Acidic,High,High,Drip,2014
Sugarcane,4.9,1017,30,92,4.51,0.004434612,Acidic,High,High,Flood,2015
Cotton,7.9,1352,31,52,5.38,0.00397929,Alkaline,High,High,Drip,2015
Soybean,7.2,366,28,58,2.2,0.006010929,Neutral,Low,Low,Sprinkler,2009
Sugarcane,7.5,639,18,50,4.52,0.007073552,Neutral,Medium,Medium,Flood,2016
Peanut,7,905,16,57,4.96,0.005480663,Neutral,Medium,Medium,Drip,2025
Sorghum,5.6,1190,18,106,3.23,0.002714286,Neutral,High,High,Drip,2028
Oats,4.6,942,40,75,3.33,0.003535032,Acidic,Medium,Medium,Sprinkler,2017
Oats,6.5,526,40,82,3.61,0.006863118,Neutral,Medium,Medium,Sprinkler,2018
Sorghum,4.9,405,39,33,4.01,0.009901235,Acidic,Low,Low,Drip,2029
Cotton,5.7,526,18,58,3.6,0.006844106,Neutral,Medium,Medium,Drip,2016
Peanut,7.6,858,32,67,4,0.004662005,Alkaline,Medium,Medium,Drip,2026
Cotton,7.6,1236,17,61,4.86,0.003932039,Alkaline,High,High,Drip,2017
Peanut,4.9,1284,23,43,5.12,0.003987539,Acidic,High,High,Drip,2027
Peanut,6.5,1378,21,90,5.49,0.003984035,Neutral,High,High,Drip,2028
Corn,6.5,836,33,67,5.67,0.006782297,Neutral,Medium,Medium,Drip,2020
Oats,7.8,797,20,44,4.02,0.005043915,Alkaline,Medium,Medium,Sprinkler,2019
Oats,6,1136,24,39,4.33,0.00381162,Neutral,High,High,Sprinkler,2020
Corn,6.8,550,15,99,5.88,0.010690909,Neutral,Medium,Medium,Drip,2021
Oats,7.3,451,20,101,2.7,0.005986696,Neutral,Low,Low,Sprinkler,2021
Sugarcane,6.6,428,19,46,3.66,0.008551402,Neutral,Low,Low,Flood,2017
Wheat,5.5,1778,15,67,2.51,0.001411699,Acidic,High,High,Sprinkler,2021
Oats,5.8,1627,24,111,5.05,0.003103872,Neutral,High,High,Sprinkler,2022
Sugarcane,7.8,303,34,82,5.31,0.017524752,Alkaline,Low,Low,Flood,2018
Corn,6.1,835,31,97,5.96,0.007137725,Neutral,Medium,Medium,Drip,2022
Soybean,7.6,1111,19,49,4.47,0.004023402,Alkaline,High,High,Sprinkler,2010
Wheat,5.1,305,39,59,4.17,0.013672131,Acidic,Low,Low,Sprinkler,2022
Cotton,5.4,1142,35,90,3.68,0.003222417,Acidic,High,High,Drip,2018
Oats,7.8,426,23,119,4.59,0.010774648,Alkaline,Low,Low,Sprinkler,2023
Wheat,6.6,1624,29,85,5.9,0.003633005,Neutral,High,High,Sprinkler,2023
Barley,4.7,340,31,93,3.21,0.009441176,Acidic,Low,Low,Sprinkler,2013
Millet,7.2,651,37,73,3.89,0.005975422,Neutral,Medium,Medium,Sprinkler,2012
Oats,7.8,547,38,63,5.81,0.010621572,Alkaline,Medium,Medium,Sprinkler,2024
Cotton,6,1769,16,119,5.37,0.003035613,Neutral,High,High,Drip,2019
Oats,7.3,679,25,62,2.02,0.002974963,Neutral,Medium,Medium,Sprinkler,2025
Sorghum,5.1,1450,20,40,5.02,0.003462069,Acidic,High,High,Drip,2030
Cotton,5.7,1317,31,35,3.07,0.002331055,Neutral,High,High,Drip,2020
Millet,5.3,1543,36,50,4.37,0.002832145,Acidic,High,High,Sprinkler,2013
Millet,7.6,1742,18,90,4.51,0.002588978,Alkaline,High,High,Sprinkler,2014
Sugarcane,6.2,575,22,108,4.75,0.00826087,Neutral,Medium,Medium,Flood,2019
Sugarcane,5,611,15,109,4.3,0.007037643,Acidic,Medium,Medium,Flood,2020
Cotton,7.1,1736,34,115,5.5,0.003168203,Neutral,High,High,Drip,2021
Rice,8,857,21,38,4.38,0.005110852,Alkaline,Medium,Medium,Flood,2025
Wheat,4.8,1765,36,113,4.61,0.002611898,Acidic,High,High,Sprinkler,2024
